Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost
OnAudience » Interest » News & Magazines,320x50,Sign up Now - 10% Off,"Chicago, Illinois",msn.com,Google Ad Manager,Smartphone,80456,204,46039,65383,3,2039.848792
US » Brand Propensities » Electronics » RadioShack Buyer Propensity,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",msn.com,Google Ad Manager,Windows PC,60412,169,33457,52172,24,1679.572708
US » Interest Propensities » Activities and Interests » College Life,320x50,Subscribe Today - 10% Discount,"Jackson, Mississippi",msn.com,Xandr - Monetize SSP (AppNexus),Smartphone,171575,499,101487,136036,8,1658.332426
Lotame » Social Media,300x250,Sign up Now - 10% Off,"Chicago, Illinois",msn.com,Google Ad Manager,Smartphone,554980,1542,323498,467646,8,1600.769588
US » Reach » Propensity Models » Hobbies and Interest » Pets » Pet Enthusiast,300x250,Sign up Now - 10% Off,"Los Angeles, California",msn.com,Google Ad Manager,Smartphone,321263,852,172887,263424,6,1576.051434
US » Financially in Charge » Performance Score: Top 25%,300x250,Sign up Today - 10% Off,"Tri-Cities, Tennessee-Virginia",msn.com,Google Ad Manager,Smartphone,311753,763,170122,256841,6,1543.612655
OnAudience » Intent » Travel,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",msn.com,BidSwitch,Apple PC,96031,311,57187,78396,21,1508.90767
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Team Sports » Football (American),320x50,Subscribe Today - 10% Discount,"Tallahassee, Florida-Thomasville, Georgia",msn.com,Google Ad Manager,Smartphone,47931,170,15989,38916,4,1487.228625
US Financial » Likely Bank Account and Services » Saving Account » Personal or Join (Financial),300x250,Sign up Today - 10% Off,"Shreveport, Louisiana",msn.com,Magnite DV+,Smartphone,177632,485,70865,95871,5,1483.384404
Online Behavior>United States>B2B » Occupation>SupplyChainManager,300x250,Sign up Now - 10% Off,"Jacksonville, Florida",my.earthlink.net,Google Ad Manager,Apple PC,7470,0,6753,7229,1,1738.995282
Online Behavior>United States>People and Society>Family and Relationships » Moms,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",my.yahoo.com,BidSwitch,Smartphone,26784,85,12708,22261,9,6643.161647
Online Behavior>United States>Arts and Entertainment>Events and Listings » Live Sporting Events,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",my.yahoo.com,Google Ad Manager,Smartphone,21028,10,5781,16134,11,5101.321655
Online Behavior>United States>Intent » Financial Intent>Banking,300x50,Subscribe Today - 10% Discount,"San Francisco, California",mydailymagazine.com,Google Ad Manager,Smartphone,9238,84,4626,8264,15,6683.225487
Online Behavior>United States>Finance » Insurance>Health Insurance,320x50,Sign up Today - 10% Off,"San Francisco, California",myfitnesspal.com,PubMatic,Smartphone,39881,125,6331,36245,10,7098.889706
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Olympics,300x250,Subscribe Today - 10% Discount,"Panama City, Florida",nba.com,Google Ad Manager,Smartphone,10883,46,1652,8869,16,1942.482395
US » Brand Propensities » Kids Products » Disney Buyer Propensity,300x250,Subscribe Today - 10% Discount,"New York City, New York",nbcchicago.com,Google Ad Manager,Apple PC,50517,270,17179,48389,2,1718.471077
Online Behavior>United States>Arts and Entertainment>Arts and Entertainment,320x50,Subscribe Today - 10% Discount,"Orlando-Daytona Beach, Florida",nbcchicago.com,Google Ad Manager,Smartphone,7248,10,3988,6863,7,1247
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Males 18-34,320x50,10% Discount - Ends 6/1,"San Francisco, California",nbcdfw.com,BidSwitch,Smartphone,10835,25,2888,10487,3,4704.249956
Online Behavior>United States>Finance » Investing>Commodities and Futures Trading,300x250,Sign up Now - 10% Off,"Los Angeles, California",nbcmiami.com,Google Ad Manager,Smartphone,11476,45,4963,10991,8,7227.417349
Online Behavior>United States>Autos and Vehicles>Vehicle Shopping » Fuel Economy and Gas Prices,320x50,Sign up Today - 10% Off,"New York City, New York",nbcnews.com,Google Ad Manager,Smartphone,92764,320,19625,76531,14,6730.012549
Online Behavior>United States>Travel>Travel Agencies and Services » Tourist Boards and Visitor Centers,320x50,Sign up Today - 10% Off,"Ft. Wayne, Indiana",nbcnews.com,Magnite DV+,Smartphone,189571,500,130676,183688,39,6335.948388
Online Behavior>United States>Beauty and Fitness>Fitness » Home Exercise,300x250,10% Discount - Ends 6/1,"Orlando-Daytona Beach, Florida",nbcnews.com,Yahoo Exchange,Smartphone,14224,30,2549,11974,7,5637.303497
Media and Entertainment » News and Current Events,300x250,Sign up Now - 10% Off,"Los Angeles, California",nbcnews.com,Google Ad Manager,Smartphone,183208,620,131164,177952,43,2682.436623
US » Interest Propensities » Activities and Interests » National News,320x50,10% Discount - Ends 6/1,"New York City, New York",nbcnews.com,BidSwitch,Smartphone,20486,42,14583,19860,2,1718.513762
US » Interest Propensities » TV and Movies » Reality » Game Shows,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",nbcsports.com,Index Exchange,Smartphone,15047,84,5653,14459,4,2127.495962
Online Behavior>United States>Hobbies and Leisure>Crafts,320x50,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",news.yahoo.com,TripleLift,Smartphone,41513,113,20872,39250,9,6789.533401
Online Behavior>United States>Life Event>Wedding Planning,300x250,Sign up Now - 10% Off,"Chicago, Illinois",news.yahoo.com,BidSwitch,Smartphone,16503,69,8595,14466,7,5714.523867
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 55-64,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",news.yahoo.com,Google Ad Manager,Smartphone,52006,160,24711,48019,12,5200.010118
Online Behavior>United States>Home and Garden>Home Appliances,300x250,10% Discount - Ends 6/1,"Tampa-St Petersburg (Sarasota), Florida",news.yahoo.com,BidSwitch,Smartphone,8420,80,4430,7869,8,5184.585424
OnAudience » Interest » Shopping,300x50,Subscribe Today - 10% Discount,"Ft. Myers-Naples, Florida",news.yahoo.com,Google Ad Manager,Smartphone,63415,185,28161,59169,9,1924.162675
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Team Sports » Baseball,320x50,Sign up Now - 10% Off,"Los Angeles, California",news.yahoo.com,PubMatic,Smartphone,73544,223,40405,67406,1,1465.872266
Media and Entertainment » News and Current Events » Online News Websites,320x50,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",newsharper.com,TripleLift,Smartphone,16288,56,5304,10731,3,2030.142709
Online Behavior>United States>Finance » Investing>Brokerages and Day Trading,300x250,10% Discount - Ends 6/1,"Memphis, Tennessee",newsmemory.com,Google Ad Manager,Apple PC,7695,20,3481,7050,14,6727.440499
US » Reach » Propensity Models » Luxury Store Shoppers,300x50,Subscribe Today - 10% Discount,"Memphis, Tennessee",newsmemory.com,Google Ad Manager,Smartphone,15602,50,7676,13775,1,2600.894327
Online Behavior>United States>Intent » Auto Buyers » Car Make>Honda,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",npr.org,Yahoo Exchange,Smartphone,8000,10,4400,6379,1,6159.366902
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Combat Sports,320x50,Sign up Now - 10% Off,"Los Angeles, California",npr.org,Smart RTB+ (Smartadserver),Smartphone,13592,85,7747,10690,1,1555.112078
US » Reach » Propensity Models » Travel » High Frequency Travel » Foreign Vacationer,320x50,10% Discount - Ends 6/1,"New York City, New York",nsfas-applications.co.za,PubMatic,Smartphone,15588,80,2089,14526,9,3518.533482
Online Behavior>United States>Intent » Auto Buyers » Car Make>Vauxhall,320x50,Sign up Now - 10% Off,"San Francisco, California",nypost.com,Google Ad Manager,Smartphone,14038,63,1600,11345,8,6368.862913
Online Behavior>United States>Intent » Travel>Flights,300x50,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",nypost.com,Xandr - Monetize SSP (AppNexus),Smartphone,140359,352,76130,133578,26,6094.666799
Online Behavior>United States>Home and Garden>Home Furnishings,320x50,Sign up Now - 10% Off,"Chicago, Illinois",nypost.com,Google Ad Manager,Smartphone,25377,101,16698,23798,2,5175.142919
Tech Enthusiasts,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",nypost.com,Google Ad Manager,Smartphone,29092,75,16986,26606,15,1801.058111
US Interest » Computers,300x250,Subscribe Today - 10% Discount,"West Palm Beach-Ft. Pierce, Florida",nypost.com,PubMatic,Apple PC,73567,197,28800,68566,2,1567.366071
US » Brand Propensities » Health » Beauty and Cosmetics » Beachbody Buyer Propensity,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",nypost.com,Google Ad Manager,Smartphone,152881,426,94895,145113,11,1496.668524
Media and Entertainment » Audio and Video Streaming » Streaming Video » Interest (Affinity),320x50,Sign up Today - 10% Off,"Chicago, Illinois",nytimes.com,Google Ad Manager,Smartphone,16239,78,9375,15562,5,2387.686295
US » Interest Propensities » Insurance » New York Life,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",nytimes.com,Magnite DV+,Smartphone,14932,90,8947,14256,3,1724.417704
OnAudience » Interest » Science » Weather,300x250,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",omnicalculator.com,Magnite DV+,Smartphone,13823,58,10671,12937,3,1574.709734
Mobile - US » Demographics » Finance » Rent Value » Highest Rent Value,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",omnicalculator.com,Google Ad Manager,Smartphone,11214,49,5523,10267,2,1554.389215
US » AUTO » Primary Vehicle » Owned or Leased » Company Car,320x50,10% Discount - Ends 6/1,"Hattiesburg-Laurel, Mississippi",onechicagocenter.com,Magnite DV+,Smartphone,19829,42,15071,19095,2,1952.463773
Online Behavior>United States>Finance » Credit and Lending>Credit Cards,320x50,Sign up Today - 10% Off,"Nashville, Tennessee",outlook.live.com,Xandr - Monetize SSP (AppNexus),Smartphone,183230,666,155260,169583,34,7863.469709
Online Behavior>United States>The Changing Consumer>Trending TV Shows,320x50,10% Discount - Ends 6/1,"Jacksonville, Florida",outlook.live.com,Index Exchange,Smartphone,113262,380,95762,104612,4,7443.483233
Online Behavior>United States>Travel>Hotels and Accommodations,300x250,Sign up Now - 10% Off,"San Francisco, California",outlook.live.com,Google Ad Manager,Smartphone,75531,200,63816,70011,9,7261.86504
Online Behavior>United States>Intent » Shopping>Fashion,300x250,10% Discount - Ends 6/1,"Los Angeles, California",outlook.live.com,Google Ad Manager,Windows PC,102958,320,86884,94687,12,6624.221175
Online Behavior>United States>The Changing Consumer>Natural Disasters,300x250,Sign up Today - 10% Off,"Chicago, Illinois",outlook.live.com,Yahoo Exchange,Apple PC,42755,117,36503,40051,12,6550.30297
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 25-44,320x50,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",outlook.live.com,BidSwitch,Smartphone,264580,691,217526,240731,9,4874.651722
OnAudience » Interest » News,320x50,10% Discount - Ends 6/1,"Grand Rapids-Kalamazoo, Michigan",outlook.live.com,Google Ad Manager,Smartphone,42833,120,37438,40447,9,2040.934819
US » Reach » Propensity Models » Online » Home Office,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",outlook.live.com,Magnite DV+,Smartphone,481526,1235,396802,437639,23,2037.865594
US » Brand Propensities » Apparel » TOMS Buyer Propensity,300x250,10% Discount - Ends 6/1,"New York City, New York",outlook.live.com,Google Ad Manager,Apple PC,50183,199,41506,46163,15,1628.882813
Mobile - US » Financial Services » Digital Payments » Chase Pay,300x250,10% Discount - Ends 6/1,"Los Angeles, California",outlook.live.com,Google Ad Manager,Smartphone,21088,60,17930,19822,4,1623.681601
Transactional » Q3 Casual Dining Restaurant Goers,300x250,Sign up Today - 10% Off,"San Francisco, California",outlook.live.com,Google Ad Manager,Smartphone,284783,756,239363,261467,9,1605.538072
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Olympics » Winter Olympics,320x50,10% Discount - Ends 6/1,"Toledo, Ohio",outlook.live.com,Google Ad Manager,Smartphone,21229,80,18073,19655,10,1550.076655
Mobile - US » Demographics » Finance » Rent Value » Lowest Rent Value,320x50,10% Discount - Ends 6/1,"Charleston, South Carolina",outlook.live.com,Google Ad Manager,Smartphone,55274,219,47583,51275,3,1532.757905
US » Brand Propensities » Big Box Dollar Tree Buyer Propensity,320x50,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",outlook.live.com,Magnite DV+,Smartphone,8278,40,6758,7537,1,1526.296619
Mobile - US » Food » Restaurant » Brand » Chilis,300x250,Sign up Now - 10% Off,"San Francisco, California",outlook.live.com,BidSwitch,Apple PC,87245,350,71903,80390,2,1500.838771
Online Behavior>United States>Finance » Accounting and Auditing>Tax Preparation and Planning,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",pandora.com,Google Ad Manager,Windows PC,24962,75,18450,24128,16,6809.056051
Online Behavior>United States>Beauty and Fitness>Fitness » Bodybuilding,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",pandora.com,Magnite DV+,Smartphone,57168,160,43261,55261,12,5841.15136
Online Behavior>United States>Autos and Vehicles>Vehicle Parts and Accessories,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",pandora.com,Xandr - Monetize SSP (AppNexus),Smartphone,58477,135,43554,56558,19,5247.623883
US » Brand Propensities » Food and Drug » Postmates Buyer Propensity,300x250,Sign up Now - 10% Off,"Mobile, Alabama-Pensacola, Florida",pandora.com,Google Ad Manager,Smartphone,13202,101,10871,12885,3,1699.060809
Online Behavior>United States>Online Communities>Online Goodies,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",people.com,OpenX,Smartphone,8187,20,4888,7510,3,6980.229304
Online Behavior>United States>Jobs and Education>Jobs,300x250,Sign up Today - 10% Off,"Jacksonville, Florida",people.com,PubMatic,Smartphone,21280,70,15309,20244,6,6837.510602
Online Behavior>United States>Intent » Auto Buyers » Category>Sport Cars,320x50,Sign up Today - 10% Off,"Augusta, Georgia",people.com,Google Ad Manager,Smartphone,81567,440,53264,68123,4,6392.471955
US » Reach » Propensity Models » Hobbies and Interest » Cultural Arts,300x250,Subscribe Today - 10% Discount,"Peoria-Bloomington, Illinois",people.com,Google Ad Manager,Smartphone,17620,52,11197,16687,9,2407.794325
US » B2B » B2B Decision Maker Responsibilities » Internet Services,300x250,Sign up Today - 10% Off,"Los Angeles, California",people.com,Google Ad Manager,Windows PC,31625,99,23764,29364,6,2360.555244
Mobile - US » Device Ownership » Smartphones » iOS (Apple) » yes,320x50,Sign up Now - 10% Off,"Jacksonville, Florida",people.com,Yieldmo,Smartphone,22175,140,14910,20074,6,1909.277483
"US » B2B » Purchase DM » Technology Services, Hardware and » or Software » I am the sole decision maker",320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",phys.org,GumGum,Smartphone,56927,165,20980,55050,5,2463.821917
OnAudience » Interest » Education,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",politico.com,BidSwitch,Smartphone,20165,60,6601,18909,10,1743.078687
OnAudience » Intent » Software,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",politico.com,Google Ad Manager,Windows PC,22501,120,13003,21286,9,1522.517949
Online Behavior>United States>Home and Garden>Kitchen and Dining,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",poshland.com,Index Exchange,Apple PC,123430,360,45294,77646,15,6808.562584
US » Reach » Propensity Models » Hobbies and Interest » Food and Drinks » Eats at Family Restaurants,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",poshland.com,Google Ad Manager,Smartphone,268811,799,95989,173923,4,2549.115158
OnAudience » Intent » Baby & Toddler » Baby Toys,300x250,10% Discount - Ends 6/1,"Augusta, Georgia",poshland.com,Magnite DV+,Windows PC,16669,26,10961,15451,5,1658.358536
Media and Entertainment » Television (TV),300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",poshland.com,Google Ad Manager,Smartphone,9130,33,3721,5564,1,1655.792857
Online Behavior>United States>Intent » Auto Buyers » Category>Caravan,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",ranker.com,Google Ad Manager,Smartphone,8097,20,4942,6868,1,6177.464545
US » Reach » Propensity Models » Hobbies and Interest » Sports » Hunting Enthusiasts,300x250,Sign up Today - 10% Off,"Los Angeles, California",ranker.com,BidSwitch,Windows PC,65243,120,39543,54290,4,3754.685247
Online Behavior>United States>The Changing Consumer>CPG,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",realtor.com,Google Ad Manager,Smartphone,224877,805,121175,213280,11,7360.992969
Online Behavior>United States>Internet and Telecom>Web Apps and Online Tools,300x250,Sign up Today - 10% Off,"New York City, New York",realtor.com,BidSwitch,Windows PC,109372,364,58336,103569,21,6928.006202
Online Behavior>United States>News>Local News,320x50,Sign up Today - 10% Off,"Memphis, Tennessee",realtor.com,Yahoo Exchange,Smartphone,44889,125,17477,38621,25,6644.954146
Online Behavior>United States>Intent » Auto Buyers » Car Make>Mercedes,320x50,Subscribe Today - 10% Discount,"Lansing, Michigan",realtor.com,Index Exchange,Smartphone,42459,121,15187,37408,11,6321.491689
Online Behavior>United States>Sports>Individual Sports » Golf,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",realtor.com,Index Exchange,Smartphone,69928,210,30196,62327,9,6318.413085
Online Behavior>United States>Food and Drink>Beverages » Juice,320x50,Sign up Now - 10% Off,"Los Angeles, California",realtor.com,Google Ad Manager,Smartphone,40859,144,17695,37108,4,6130.368425
Online Behavior>United States>Autos and Vehicles » Brands>Isuzu,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",realtor.com,Index Exchange,Windows PC,16978,30,8367,15731,9,5886.071146
Online Behavior>United States>Internet and Telecom>Web Services,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",realtor.com,Magnite DV+,Smartphone,14581,45,3821,12741,6,5296.970091
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Males 18-44,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",realtor.com,BidSwitch,Apple PC,10815,25,4321,9646,2,4921.594843
Online Behavior>United States>B2B » Occupation>ComputerProgrammer,300x250,10% Discount - Ends 6/1,"Chattanooga, Tennessee",realtor.com,Yahoo Exchange,Apple PC,114194,380,50923,104074,2,4036.089376
US » Reach » Propensity Models » Lifestyle » Healthy Living,300x250,Subscribe Today - 10% Discount,"Peoria-Bloomington, Illinois",realtor.com,Google Ad Manager,Smartphone,15449,50,4595,13765,1,3122.942574
US » Reach » Propensity Models » Hobbies and Interest » Sports » NHL Enthusiast,300x250,Sign up Now - 10% Off,"New York City, New York",realtor.com,Sovrn,Smartphone,114267,110,60964,108301,5,2679.154068
US » Reach » Propensity Models » Hobbies and Interest » Sports » Fishing,300x250,Subscribe Today - 10% Discount,"Knoxville, Tennessee",realtor.com,PubMatic,Apple PC,65043,160,25871,53969,4,2347.918531
US » Interest Propensities » Food and Drink » American Cuisine,320x50,Sign up Today - 10% Off,"Chicago, Illinois",realtor.com,Google Ad Manager,Smartphone,85280,211,35860,79837,5,2217.932092
US » Reach » Propensity Models » Finance » Credit » Debit Card » Store Credit Card User,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",realtor.com,Magnite DV+,Smartphone,51515,144,18304,44891,14,2160.307325
US » Brand Propensities » Apparel » Shoebuy.com Buyer Propensity,320x50,10% Discount - Ends 6/1,"Tampa-St Petersburg (Sarasota), Florida",realtor.com,BidSwitch,Smartphone,43666,133,18513,40506,18,1980.393834
Travel and Tourism » In-Market,300x250,Sign up Now - 10% Off,"Chicago, Illinois",realtor.com,Google Ad Manager,Apple PC,48892,110,32060,45251,9,1978.609661
US » Interest Propensities » TV and Movies » Network TV,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",realtor.com,Google Ad Manager,Smartphone,104814,369,55984,99432,5,1942.847513
US » Sociodemographic » P$YCLE Premier Lifestage » F4 Working-Class USA,320x50,10% Discount - Ends 6/1,"San Francisco, California",realtor.com,BidSwitch,Smartphone,64577,240,37732,60357,11,1801.349131
US » B2B » B2B Decision Maker Responsibilities » Office Services or Moving,300x250,Sign up Today - 10% Off,"Nashville, Tennessee",realtor.com,BidSwitch,Apple PC,49412,170,22155,43802,3,1595.659466
Telecommunications and Mobile Tech » Mobile Devices and Connected Technology,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",realtor.com,PubMatic,Apple PC,11269,63,4992,10245,3,1576.38921
US Home » Property Type » Single,320x50,Subscribe Today - 10% Discount,"New York City, New York",realtor.com,BidSwitch,Smartphone,15318,30,5928,13298,19,1570.29739
US Health and Fitness » Interest » Exercise » Health,300x50,10% Discount - Ends 6/1,"San Francisco, California",realtor.com,BidSwitch,Smartphone,10819,20,4168,9768,2,1504.329214
OnAudience » Interest » Arts & Entertainment » Movies,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",realtor.com,BidSwitch,Smartphone,30714,111,12531,28461,9,1503.484311
OnAudience » Interest » Arts & Entertainment,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",redfin.com,OpenX,Smartphone,37617,85,5092,34373,6,1608.882952
Online Behavior>United States>Validated Demographic » Age>18 or older,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",reference.com,Google Ad Manager,Windows PC,219088,541,75638,153987,17,6761.073824
US » Multibuyer Behaviors » Entertainment » Pastimes Multibuyer,300x250,Sign up Now - 10% Off,"Orlando-Daytona Beach, Florida",rent.com,BidSwitch,Smartphone,15277,69,3089,13644,4,1904.564346
US » Sociodemographic » PRIZM Premier Social » C2 City Centers,300x250,10% Discount - Ends 6/1,"Lansing, Michigan",rent.com,Google Ad Manager,Windows PC,34278,100,3704,30227,6,1689.083186
Lotame » Personal Finance » Stocks,300x250,Sign up Now - 10% Off,"New York City, New York",repairlinkshop.com,Yahoo Exchange,Smartphone,13382,68,3340,11662,1,1447.927193
Online Behavior>United States>Autos and Vehicles » Brands>Citroen,320x50,Sign up Today - 10% Off,"Little Rock-Pine Bluff, Arkansas",reuters.com,Magnite DV+,Smartphone,9319,30,6193,8682,12,4594.604003
OnAudience » Intent » Electronics » Video Game Consoles,320x50,Sign up Now - 10% Off,"Chicago, Illinois",reuters.com,Taboola,Smartphone,16791,40,11402,14231,3,1522.512272
Online Behavior>United States>Sports>Team Sports » Baseball,320x50,Sign up Now - 10% Off,"New York City, New York",rollingstone.com,Smart RTB+ (Smartadserver),Smartphone,19334,40,8673,18578,11,7292.135059
Online Behavior>United States>Beauty and Fitness>Fitness » Gyms and Health Clubs,320x50,Sign up Today - 10% Off,"New York City, New York",rollingstone.com,Google Ad Manager,Smartphone,25835,69,3753,20808,11,5751.912297
US » Reach » Propensity Models » Hobbies and Interest » Sports » Plays Tennis,300x250,Sign up Now - 10% Off,"New York City, New York",rollingstone.com,Google Ad Manager,Windows PC,33650,100,15621,32539,9,3844.991165
"Lotame » Style, Fashion & Clothing",320x50,Subscribe Today - 10% Discount,"Tri-Cities, Tennessee-Virginia",rvtrader.com,Google Ad Manager,Smartphone,13168,84,8527,12625,4,1639.72335
Online Behavior>United States>Intent » Travel>Graduation Trip,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",sallysbakingaddiction.com,Google Ad Manager,Windows PC,26415,60,13791,25315,11,6450.918637
Lotame » Online Shoppers » Online Shoppers,300x250,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",sciencealert.com,BidSwitch,Smartphone,13347,80,8357,11461,10,1543.66142
US » Reach » Propensity Models » Young Adult Clothing Shoppers,320x50,Sign up Now - 10% Off,"New York City, New York",sciencesensei.com,OpenX,Smartphone,20885,99,9901,16266,15,2496.785436
Purchase-Based,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",scitechdaily.com,Index Exchange,Smartphone,11289,97,1345,8187,3,1665.160445
US » Reach » Propensity Models » Online » Electronics and Gadgets,300x250,Sign up Now - 10% Off,"Orlando-Daytona Beach, Florida",screenrant.com,Magnite DV+,Smartphone,10389,55,8161,9951,2,2582.493847
US » Interest Propensities » Music » Classic Rock,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",screenrant.com,Google Ad Manager,Windows PC,62040,174,43853,58642,15,2139.065793
OnAudience » Interest » Social life,300x250,10% Discount - Ends 6/1,"New York City, New York",screenrant.com,BidSwitch,Smartphone,83537,222,67987,79409,4,1761.079323
US Travel » Likely Business Travel » Number of Nights Stayed » 0 Nights,300x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",screenrant.com,Google Ad Manager,Smartphone,81054,265,56762,76198,16,1532.357841
US »Price-Driven Traditionalist Audience,300x250,10% Discount - Ends 6/1,"Knoxville, Tennessee",screenrant.com,Sovrn,Windows PC,35043,140,20942,33479,24,1527.97628
Online Behavior>United States>Intent » Travel>Luxury Travel,320x50,Sign up Today - 10% Off,"Huntsville-Decatur (Florence), Alabama",seedsgames.com,Google Ad Manager,Smartphone,14509,90,866,13268,8,5521.18913
Media and Entertainment » Television (TV) » Viewership » TV Genres » Drama,300x250,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",semana.com,OpenX,Windows PC,16325,78,9558,15426,21,1814.098581
US » Sociodemographic » ConneXions Lifestage » Y2 Emerging Techies,300x250,Sign up Today - 10% Off,"Memphis, Tennessee",shareably.net,Google Ad Manager,Smartphone,10485,84,4255,7669,2,2239.262819
US » Automotive » Auto Loyalists and Defectors » Auto Make Defectors,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",si.com,TripleLift,Smartphone,11561,87,4063,9941,5,1911.931953
Online Behavior>United States>Online Communities>Blogging Resources and Services,320x50,Sign up Now - 10% Off,"Jacksonville, Florida",signin.ebay.com,Yahoo Exchange,Smartphone,18136,69,10842,14953,9,6860.359597
US » Brand Propensities » Electronics » Crutchfield Buyer Propensity,300x250,Sign up Today - 10% Off,"Los Angeles, California",signin.ebay.com,TripleLift,Smartphone,8437,63,5271,7065,2,1880.533168
Online Behavior>United States>Intent » Auto Buyers » Car Make>Subaru,300x250,Sign up Today - 10% Off,"Los Angeles, California",signupgenius.com,Magnite DV+,Apple PC,7965,50,5230,6923,10,6298.513929
"Online Behavior>United States>Finance » Grants, Scholarships and Financial Aid>Government Grants",300x250,Subscribe Today - 10% Discount,"Jacksonville, Florida",signupgenius.com,BidSwitch,Smartphone,14350,60,8228,13396,6,6114.034936
Online Behavior>United States>Autos and Vehicles » Brands>Mini,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",signupgenius.com,PubMatic,Smartphone,24100,110,11355,21740,5,5912.260975
Online Behavior>United States>Autos and Vehicles » Brands>Buick,300x250,Subscribe Today - 10% Discount,"South Bend-Elkhart, Indiana",signupgenius.com,Google Ad Manager,Apple PC,21599,66,13600,20256,9,5551.387415
US Financial » Likely In Market Timing » Not At All Likely to Purchase » First Home/Residence In The Next Year (Financial),300x250,Sign up Today - 10% Off,"Chicago, Illinois",signupgenius.com,Magnite DV+,Windows PC,35335,120,22566,30685,15,1866.34747
Transactional » Q3 Gardening Shoppers,300x250,10% Discount - Ends 6/1,"San Francisco, California",signupgenius.com,Google Ad Manager,Smartphone,14763,40,8955,13829,2,1531.926885
Online Behavior>United States>Travel>Tourist Destinations » Historical Sites and Buildings,320x50,10% Discount - Ends 6/1,"San Francisco, California",slickdeals.net,Index Exchange,Smartphone,47360,126,8047,33641,9,6502.274933
